iteration,objective,change
1,0.27310628639442325,0.20000000000000007
2,-0.0032513697035783137,0.2
3,-0.25008709706926363,0.20000000000000007
4,-0.7079304012128891,0.2
5,-1.1281608037887505,0.20000000000000007
6,-1.4191614937228423,0.20000000000000007
7,-1.4432687671026476,0.19999999999999996
8,-1.453917838074976,0.2
9,-1.4565031546368763,0.19999999999999996
10,-1.457849668205006,0.11816998850283511
11,-1.4585843640897225,0.11489990223036295
12,-1.459056527880234,0.1206420378840235
13,-1.4594585438492,0.09136009819073265
14,-1.4597629789977071,0.0965777711303537
15,-1.4600825340477648,0.08016084587207972
16,-1.460348433984317,0.07862616385845067
17,-1.4605942669661933,0.07338854283033858
18,-1.4608242472894386,0.0669474975593698
19,-1.461031144088599,0.06658604425917114
20,-1.4612140673960416,0.06229713832287376
21,-1.4614216973841434,0.06380553619588958
22,-1.4615906504674214,0.061973616072602544
23,-1.4617589067187993,0.0656875524701932
24,-1.461930023939995,0.06206281546778003
25,-1.4620824846554505,0.061560633830957445
26,-1.4622089532830165,0.059230285230553514
27,-1.4623512403995256,0.06150915433069193
28,-1.4624686943629068,0.0553608676697791
29,-1.4625730030126578,0.05304493249839981
30,-1.46267145322808,0.05197636795553662
31,-1.4627656479164586,0.055775871037976876
32,-1.462858734574147,0.048520910478130785
33,-1.4629221040042917,0.047824321865644226
34,-1.462996627934169,0.03927432513263529
35,-1.4630603217862699,0.04001583995938557
36,-1.463111213626937,0.039895513421849715
37,-1.4631621469754725,0.04150683279286238
38,-1.463206791581231,0.038534104754499254
39,-1.4632501267286824,0.0381786264787396
40,-1.4632845143089837,0.03437026592132297
41,-1.4633262060010133,0.03242312724623386
42,-1.4633481858440107,0.0277065040733111
43,-1.463376196811908,0.026458606796520456
44,-1.4634005225601703,0.02047096954611849
45,-1.4634141261647582,0.02072627292469903
46,-1.4634302048883614,0.020996724109859255
47,-1.4634571470073123,0.021474701212221226
48,-1.463462037154253,0.021302397269840234
49,-1.4634787585672717,0.02189998014812028
50,-1.463488676900274,0.02135988950695422
51,-1.463506991614342,0.02175590471035299
52,-1.4635204544259244,0.02027264195223255
53,-1.4635267017262892,0.020410447714031943
54,-1.4635329251316043,0.019070404310133238
55,-1.4635415587339438,0.019133245230706586
56,-1.4635516485707578,0.017534148417883588
57,-1.4635602747874141,0.016899209609067878
58,-1.4635601411960004,0.015746829495790315
59,-1.4635703242471974,0.015116635183126559
60,-1.4635720281418383,0.013174998677232375
61,-1.4635694163959618,0.013305605767611306
62,-1.4635747633252458,0.012073192801031474
63,-1.4635839745188184,0.011634087142732508
64,-1.4635886008939774,0.010402643875541906
65,-1.463591228018596,0.009954410077710918
