iteration,objective,change
1,1007.0221007303063,0.2
2,577.940743117922,0.20000000000000007
3,411.81714719240875,0.20000000000000007
4,346.1410647211558,0.20000000000000007
5,327.70242246453563,0.18937571892444205
6,314.9336761182858,0.20000000000000007
7,305.6424075673302,0.1685698302227604
8,297.14276425357315,0.1752735801956561
9,290.15180314688774,0.13281045319059503
10,283.43996514304126,0.14606564859560045
11,276.7424819377813,0.15453248116573803
12,270.18563617226806,0.1853022541088678
13,262.99593446232075,0.20000000000000007
14,255.42616283602493,0.20000000000000007
15,248.3976560693195,0.20000000000000007
16,243.18342174105783,0.20000000000000007
17,238.80859531185277,0.20000000000000007
18,235.32162451930452,0.20000000000000007
19,232.2347853914397,0.1701549351645143
20,229.65279735007024,0.16366979966847917
21,227.6097829076443,0.1121917271092483
22,226.15539401934456,0.10377160982945244
23,225.08661946682162,0.10331998253611685
24,224.26747085686966,0.10656523241376348
25,223.66965110496295,0.10324847738383658
26,223.16651322736845,0.09130849629227433
27,222.82786845491745,0.07085506839103473
28,222.54528708793495,0.06403750484016835
29,222.31736683320943,0.06699854735518468
30,222.13385321228438,0.06749071487942615
31,221.97295143598117,0.0652738294603773
32,221.82299178081968,0.06150083759965552
33,221.68990581977934,0.05772745478839442
34,221.6073203194394,0.05766995882814607
35,221.49084281627714,0.054948300008203055
36,221.4083552047303,0.054401790712460374
37,221.34807304390728,0.056623387429192484
38,221.28951384791148,0.05752412716027849
39,221.211486825896,0.055589806902468286
40,221.14629918611948,0.05163455104350101
41,221.08995693846205,0.0503744041808078
42,221.03999490711155,0.05293147913096652
43,220.99374025848886,0.05401656013604583
44,220.96151476224236,0.053978796230064074
45,220.90955189259853,0.0516121230021912
46,220.88220840010567,0.04845971642202962
47,220.83313870128976,0.0440529511186209
48,220.80102071437,0.047668477331633374
49,220.74892334259295,0.05002148062592865
50,220.72090600939296,0.0516904381876378
51,220.68623059849057,0.052132274664105194
52,220.64751157815533,0.051300673822845866
53,220.6088021670396,0.05122812225706369
54,220.5689574846108,0.05751094984640037
55,220.5285242736735,0.06278236404143817
56,220.48663282335298,0.06627845722877068
57,220.4489059795975,0.06741237477237139
58,220.41536887993013,0.06596037711839098
59,220.38998638848435,0.06215150274473136
60,220.37390705206778,0.05764546198886744
61,220.3311244543355,0.05415079160057856
62,220.29778833489289,0.05243635292258997
63,220.2699056353977,0.04953797850123309
64,220.24638301587467,0.04560475800657848
65,220.2292728550849,0.04175891623164096
66,220.202251557194,0.044927278266280124
67,220.19515436142044,0.05004387058242182
68,220.1728171855812,0.05432003952936271
69,220.1589545721518,0.058288603683883056
70,220.12445123148257,0.05994897137884636
71,220.12377445338404,0.061392521729951355
72,220.0979714835436,0.060548694333228625
73,220.07769758475192,0.05822556586233796
74,220.05889826025344,0.05462115223010422
75,220.03953593447434,0.04999658943443552
76,220.018155704264,0.04357036371316625
77,220.0170815780142,0.04800097810308948
78,219.9791670009153,0.05453984867258138
79,219.96701398017223,0.061079975379902174
80,219.94477677505617,0.06679170865854295
81,219.9120669653602,0.07056844862477507
82,219.89281290246535,0.07242230242706249
83,219.87900406695215,0.07318445302331189
84,219.83963741021725,0.07115113103787563
85,219.80299120648095,0.06728864590866046
86,219.76085611714402,0.06108977593027454
87,219.73515163198914,0.07296484755816651
88,219.68501244619893,0.08956341040785387
89,219.62846375432528,0.1075233294942603
90,219.54103514620786,0.12286864248468454
91,219.47735837228834,0.1330160510924855
92,219.368511423324,0.13906646821175267
93,219.27002955684776,0.14998773245244412
94,219.21076128816557,0.1469133952335412
95,219.13629257801588,0.13115791054466475
96,219.07695910291264,0.10507414977149909
97,219.0404552668421,0.09887064441109084
98,219.03457165294157,0.031938400082496654
99,219.0048225587099,0.02947167722663524
100,218.97805850882395,0.026675338822503003
101,218.9680806812993,0.025309183463203322
102,218.9654210928777,0.0302502967543804
103,218.94624389395995,0.035730965835267636
104,218.91286999283386,0.04113177451101713
105,218.91728780551782,0.04730665589719174
106,218.8948386058482,0.05301552956650246
107,218.87751838384042,0.057939208711143386
108,218.8615784154423,0.06142683762920792
109,218.8460583747144,0.06224627171169883
110,218.85442895265757,0.06198737942893884
111,218.83155807861917,0.058806168130083214
112,218.8153587896886,0.0529076702162139
113,218.82684938968197,0.047632089999642746
114,218.80946662299849,0.041012733965107406
115,218.80247611576016,0.03441354021671361
116,218.80008427095234,0.028419023658068476
117,218.80002394452558,0.024328442347757773
118,218.77887995161583,0.018779979090892462
119,218.7911964298749,0.01648754624209814
120,218.77781648355648,0.013535474903268785
