iteration,objective,change
1,-0.1466654783787013,0.20000000000000007
2,-0.5306916240066908,0.20000000000000007
3,-1.074051493527084,0.20000000000000007
4,-1.44426125553205,0.20000000000000007
5,-1.6044190873503055,0.20000000000000007
6,-1.6474414754001858,0.1992975999895904
7,-1.6725097554899744,0.1549982776077391
8,-1.686875099855881,0.1283556890680999
9,-1.6936990265007246,0.13242352923234058
10,-1.6984133993902533,0.1415585894879181
11,-1.7020453960147524,0.15258880497862715
12,-1.7048338644096057,0.08889453989460203
13,-1.7062138119850678,0.0725508550206464
14,-1.707096407214197,0.060530401377293264
15,-1.7077576633988334,0.05883519819967464
16,-1.7081658842169674,0.056072463169262954
17,-1.7085280911401395,0.051503094166404084
18,-1.70878593740222,0.04334382806171633
19,-1.7089401224999163,0.03799938498762623
20,-1.7091322271371436,0.0187213468945584
21,-1.7092182472789013,0.019344536194922934
22,-1.7093091415711255,0.02007291589930399
23,-1.7094195833415058,0.019764506664931902
24,-1.70945711939213,0.0199986639239933
25,-1.7095182124008208,0.01951488759880382
26,-1.709579252132598,0.018883536211014795
27,-1.7096434841829113,0.017604213160005933
28,-1.7096760349950582,0.016766766938941968
29,-1.7097213033495495,0.01532219004195634
30,-1.7097396019343893,0.014435168854106228
31,-1.7097734618434162,0.013562954196680077
32,-1.7098185407541457,0.012716295959918966
33,-1.7098590810117853,0.012444454887365175
34,-1.709891735618636,0.012964007053247073
35,-1.7099186932644217,0.01351387114364333
36,-1.7099421630972906,0.014085556264636534
37,-1.7099641515275084,0.014672470918889735
38,-1.709986422725858,0.015269365016782777
39,-1.7100105160833543,0.01587191207708183
40,-1.7100334278041536,0.016994900746197694
41,-1.710102799688032,0.017086116894455994
42,-1.710112350335754,0.018269173542360795
43,-1.7101748401867354,0.018326416583308747
44,-1.7101814747800297,0.019551950668200924
45,-1.710243763950515,0.02017459405120925
46,-1.710252188162329,0.022036733339327208
47,-1.7103177282972335,0.022983001090441046
48,-1.7103304168579263,0.024918134764023547
49,-1.7104008110516058,0.026338922727340452
50,-1.7104686102880535,0.027122252867219476
51,-1.710485906607979,0.028994312294846614
52,-1.7105613255003278,0.029517261282714702
53,-1.7105831695146054,0.031207005354226602
54,-1.7106449760558708,0.0328924108783466
55,-1.7107241043580679,0.03385503141206181
56,-1.7107619884533203,0.0355966722198664
57,-1.710824341619896,0.03728160818453208
58,-1.7109078775725934,0.03886752414881156
59,-1.7110111864573918,0.03937107491977476
60,-1.7110764635064406,0.04070230971765176
61,-1.7111701075644081,0.040804459375170965
62,-1.7112316816145103,0.04181988724298591
63,-1.7113269620877587,0.04607993009522604
64,-1.7114231909737536,0.026232544586488826
65,-1.7114975071286909,0.024547225295367237
66,-1.7115396835004024,0.021733496461603607
67,-1.7115656137523165,0.01935148038927781
68,-1.7115911452435824,0.018579196299797207
69,-1.71166879601526,0.014198078088664495
70,-1.71170164593731,0.012925198516281058
71,-1.7117412968401964,0.011792341814906113
72,-1.711796716756388,0.013697037496609166
73,-1.711842544243966,0.01638816692415422
74,-1.7118943597131604,0.019574370201774008
75,-1.7119632177144373,0.023145707870025373
76,-1.7120222488470525,0.027227432235670673
77,-1.7120874168660942,0.031811438249807256
78,-1.7121702293262802,0.03683494491737149
79,-1.7122792674014244,0.041818061991362176
80,-1.7123842549466108,0.04668885568324266
81,-1.712495300231924,0.05106618069052593
82,-1.7126149448837544,0.05449144704003811
83,-1.7127354789798694,0.05649761917715146
84,-1.7128457365420084,0.0567154681088376
85,-1.7129382341330908,0.05568273743396723
86,-1.7130455548311787,0.052139780075785125
87,-1.71309463529108,0.04786492973068901
88,-1.7131314212832167,0.04345328628389644
89,-1.7131921757271833,0.03761880758885949
90,-1.713203136710366,0.03262534618560253
91,-1.7132226649462974,0.028800531923631634
92,-1.7132889500690187,0.023269333207568077
93,-1.7132783590894747,0.020418395143985357
94,-1.7133086796331478,0.01705704151342302
95,-1.7133046943867674,0.01434863957842425
96,-1.7132771202728339,0.013265986339923264
97,-1.7132900554604822,0.012365577681427653
98,-1.7133322896012402,0.010478695488527978
99,-1.7133372613803672,0.008962844281158233
